                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.43638,                0.44111,                 1.0061,                0.70238,                0.77603,                0.79692,                0.65546,                0.68075,                 1.0987,                 1.1353,             0.00025454,             0.00025454,             0.00025454
                     67,                 0.4454,                0.45131,                 1.0086,                0.79776,                0.74124,                0.81286,                0.64294,                0.70888,                 1.0241,                 1.1672,             0.00024747,             0.00024747,             0.00024747
                     68,                0.43802,                0.43857,                  1.004,                0.79893,                0.64292,                0.76046,                0.61543,                0.73361,                 1.0634,                  1.209,              0.0002404,              0.0002404,              0.0002404
                     69,                0.42597,                0.43625,                0.99933,                 0.8701,                0.63124,                0.75995,                0.62104,                0.71025,                 1.1053,                 1.1456,             0.00023334,             0.00023334,             0.00023334
                     70,                0.42804,                0.43682,                 1.0008,                0.79114,                0.77346,                0.81435,                0.65109,                0.74411,                 1.0219,                 1.1984,             0.00022627,             0.00022627,             0.00022627
                     71,                 0.4291,                0.43031,                0.99261,                0.87222,                0.70308,                0.82189,                0.64335,                0.75649,                 1.0198,                 1.2074,              0.0002192,              0.0002192,              0.0002192
                     72,                 0.4291,                0.44065,                0.99576,                0.87402,                0.74471,                0.82121,                0.64659,                0.70042,                 1.0078,                 1.1552,             0.00021213,             0.00021213,             0.00021213
                     73,                0.43028,                0.43002,                0.99589,                0.77266,                0.78029,                0.81378,                0.63014,                0.77729,                 1.0022,                 1.2167,             0.00020506,             0.00020506,             0.00020506
                     74,                0.39937,                0.39931,                0.98291,                0.80821,                0.75708,                0.81763,                0.64594,                0.74441,                 1.0685,                  1.197,             0.00019799,             0.00019799,             0.00019799
                     75,                0.41613,                0.41133,                0.99181,                0.79721,                0.68249,                0.77675,                0.62835,                0.74152,                 1.0731,                  1.192,             0.00019092,             0.00019092,             0.00019092
                     76,                 0.4239,                 0.4273,                0.98651,                0.81087,                0.77117,                0.79633,                0.64263,                0.71864,                 1.0126,                  1.144,             0.00018385,             0.00018385,             0.00018385
                     77,                0.40187,                0.40012,                0.98612,                 0.8532,                0.74957,                0.83883,                0.70545,                0.69736,                0.91544,                  1.135,             0.00017679,             0.00017679,             0.00017679
