                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                  1.441,                 2.4417,                 2.0214,                 0.6044,                0.58083,                 0.6244,                0.45284,                 1.1886,                 2.1859,                 1.8947,             0.00015194,             0.00015194,             0.00015194
                     80,                 1.4572,                 2.4856,                 2.0431,                0.59325,                0.59306,                0.62123,                0.44875,                  1.203,                 2.1715,                 1.9175,             0.00014534,             0.00014534,             0.00014534
                     81,                 1.4602,                 2.3789,                 2.0318,                0.61297,                0.61565,                0.63624,                0.45389,                 1.2082,                 2.1453,                  1.925,             0.00013874,             0.00013874,             0.00013874
                     82,                 1.4028,                 2.3297,                 1.9728,                0.62554,                 0.5729,                 0.6245,                0.45267,                 1.1825,                 2.1342,                 1.9097,             0.00013213,             0.00013213,             0.00013213
                     83,                 1.4602,                 2.3796,                 2.0146,                0.75676,                0.50735,                0.60163,                0.43867,                  1.175,                 2.1454,                 1.9043,             0.00012553,             0.00012553,             0.00012553
                     84,                 1.4251,                 2.3787,                 2.0112,                0.68973,                0.50692,                0.59527,                0.44025,                 1.1789,                 2.1517,                 1.9076,             0.00011893,             0.00011893,             0.00011893
                     85,                 1.4373,                 2.4406,                 2.0497,                0.60131,                0.59155,                0.62689,                 0.4639,                  1.175,                 2.0879,                 1.9005,             0.00011232,             0.00011232,             0.00011232
                     86,                 1.4469,                 2.3805,                 2.0269,                0.68193,                0.54171,                0.65208,                0.48132,                 1.1606,                 2.0411,                 1.8727,             0.00010572,             0.00010572,             0.00010572
                     87,                 1.4101,                 2.3507,                 1.9697,                0.61328,                0.57764,                0.64656,                0.47291,                 1.1575,                 2.0418,                 1.8622,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     88,                  1.466,                 2.2927,                 2.0025,                0.56917,                0.63932,                 0.6389,                0.46563,                 1.1623,                 2.0614,                 1.8687,             9.2513e-05,             9.2513e-05,             9.2513e-05
                     89,                 1.4139,                 2.3414,                 1.9857,                0.50147,                0.64866,                0.63119,                0.46507,                 1.1615,                 2.0573,                 1.8694,              8.591e-05,              8.591e-05,              8.591e-05
                     90,                 1.3772,                 2.2759,                 1.9489,                0.51109,                0.65252,                0.63641,                0.46697,                 1.1511,                 2.0286,                 1.8629,             7.9306e-05,             7.9306e-05,             7.9306e-05
                     91,                 1.3134,                 2.6703,                 1.9391,                0.54099,                0.64441,                0.64191,                0.46863,                 1.1495,                 2.0147,                 1.8433,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     92,                 1.2786,                 2.5627,                 1.9665,                0.59722,                0.62771,                0.64017,                0.46454,                 1.1612,                 2.0608,                 1.8399,               6.61e-05,               6.61e-05,               6.61e-05
                     93,                 1.2749,                  2.553,                 1.9907,                0.59959,                0.62011,                0.63503,                0.46528,                  1.154,                  2.104,                 1.8384,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     94,                 1.2053,                 2.4184,                 1.8852,                0.61538,                0.64612,                0.64915,                0.47906,                 1.1267,                 2.0854,                 1.8182,             5.2893e-05,             5.2893e-05,             5.2893e-05
                     95,                 1.2593,                  2.474,                 1.9243,                 0.6355,                0.65135,                0.66493,                0.49377,                 1.1136,                 2.0406,                 1.7971,              4.629e-05,              4.629e-05,              4.629e-05
                     96,                 1.2029,                 2.3792,                 1.8572,                  0.604,                0.65499,                0.66956,                0.49734,                 1.1239,                 2.0176,                 1.7914,             3.9687e-05,             3.9687e-05,             3.9687e-05
                     97,                  1.208,                 2.3896,                 1.8766,                0.62415,                0.66027,                0.67623,                0.50199,                 1.1155,                 2.0039,                  1.778,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     98,                 1.2115,                 2.3307,                 1.8892,                 0.6314,                0.67167,                0.69087,                0.51886,                 1.1012,                 1.9728,                 1.7648,              2.648e-05,              2.648e-05,              2.648e-05
                     99,                 1.1759,                  2.312,                 1.8524,                0.63785,                 0.6907,                0.69664,                0.52192,                 1.0944,                 1.9601,                 1.7579,             1.9877e-05,             1.9877e-05,             1.9877e-05
                    100,                 1.2026,                 2.2665,                 1.8911,                 0.6511,                0.69015,                0.70105,                 0.5289,                   1.09,                 1.9473,                 1.7539,             1.3273e-05,             1.3273e-05,             1.3273e-05
